,metro_area,postal_code,median_sale_price,house_count
291,"Indianapolis,IN",46222,114999.0,45
292,"Indianapolis,IN",46224,207000.0,27
293,"Indianapolis,IN",46225,188450.0,28
294,"Indianapolis,IN",46226,136500.0,65
295,"Indianapolis,IN",46227,227000.0,72
296,"Indianapolis,IN",46228,266336.5,18
297,"Indianapolis,IN",46229,215000.0,33
298,"Indianapolis,IN",46231,235000.0,5
299,"Indianapolis,IN",46234,245500.0,28
300,"Indianapolis,IN",46235,199000.0,43
301,"Indianapolis,IN",46236,305000.0,41
302,"Indianapolis,IN",46237,252400.0,55
303,"Indianapolis,IN",46239,299372.5,56
304,"Indianapolis,IN",46240,302500.0,14
305,"Indianapolis,IN",46241,145000.0,28
306,"Indianapolis,IN",46250,230450.0,26
307,"Indianapolis,IN",46254,198037.0,34
308,"Indianapolis,IN",46256,271000.0,34
309,"Indianapolis,IN",46259,350000.0,19
310,"Indianapolis,IN",46260,270000.0,37
311,"Indianapolis,IN",46268,207500.0,29
312,"Indianapolis,IN",46278,477500.0,8
313,"Jacksonville,FL",32073,185000.0,1
314,"Jacksonville,FL",32081,677500.0,14
315,"Jacksonville,FL",32202,185000.0,26
316,"Jacksonville,FL",32204,443000.0,32
317,"Jacksonville,FL",32205,324750.0,218
318,"Jacksonville,FL",32206,148000.0,77
319,"Jacksonville,FL",32207,300000.0,151
320,"Jacksonville,FL",32208,140000.0,148
321,"Jacksonville,FL",32209,125000.0,141
322,"Jacksonville,FL",32210,230000.0,249
323,"Jacksonville,FL",32211,250000.0,128
324,"Jacksonville,FL",32216,282500.0,127
325,"Jacksonville,FL",32217,330000.0,85
326,"Jacksonville,FL",32218,283500.0,264
327,"Jacksonville,FL",32219,225600.0,85
328,"Jacksonville,FL",32220,300550.0,52
329,"Jacksonville,FL",32221,320000.0,83
330,"Jacksonville,FL",32222,360000.0,81
331,"Jacksonville,FL",32223,435500.0,110
332,"Jacksonville,FL",32224,498879.0,145
333,"Jacksonville,FL",32225,375000.0,193
334,"Jacksonville,FL",32226,402255.0,124
335,"Jacksonville,FL",32233,308000.0,31
336,"Jacksonville,FL",32234,290496.0,55
337,"Jacksonville,FL",32244,277500.0,215
338,"Jacksonville,FL",32246,382500.0,212
339,"Jacksonville,FL",32250,570000.0,27
340,"Jacksonville,FL",32254,152000.0,75
341,"Jacksonville,FL",32256,385500.0,283
342,"Jacksonville,FL",32257,360000.0,152
343,"Jacksonville,FL",32258,370000.0,154
344,"Jacksonville,FL",32259,565000.0,79
345,"Jacksonville,FL",32277,307500.0,70
346,"Las Vegas,NV",89044,769257.0,4
347,"Las Vegas,NV",89054,250000.0,1
348,"Las Vegas,NV",89101,320000.0,21
349,"Las Vegas,NV",89102,415000.0,27
350,"Las Vegas,NV",89103,273500.0,88
351,"Las Vegas,NV",89104,358750.0,30
352,"Las Vegas,NV",89106,232000.0,5
353,"Las Vegas,NV",89107,350000.0,57
354,"Las Vegas,NV",89108,349504.5,120
355,"Las Vegas,NV",89109,425000.0,27
356,"Las Vegas,NV",89110,340000.0,76
357,"Las Vegas,NV",89113,500000.0,127
358,"Las Vegas,NV",89115,323250.0,58
359,"Las Vegas,NV",89117,495000.0,85
360,"Las Vegas,NV",89118,320000.0,57
361,"Las Vegas,NV",89119,282500.0,58
362,"Las Vegas,NV",89120,315000.0,43
363,"Las Vegas,NV",89121,350000.0,101
364,"Las Vegas,NV",89122,343950.0,80
365,"Las Vegas,NV",89123,459950.0,98
366,"Las Vegas,NV",89124,574900.0,3
367,"Las Vegas,NV",89128,436000.0,60
368,"Las Vegas,NV",89129,477500.0,88
369,"Las Vegas,NV",89130,460000.0,77
370,"Las Vegas,NV",89131,640000.0,47
371,"Las Vegas,NV",89134,472500.0,81
372,"Las Vegas,NV",89135,741116.5,70
373,"Las Vegas,NV",89138,790843.0,122
374,"Las Vegas,NV",89139,456500.0,66
375,"Las Vegas,NV",89141,534843.5,144
